tsɿ	1	资姿之支枝脂{胭脂}
tsɿ	2	池瓷迟慈鹚{鸬~:水鸟，南方多饲养来帮助捕鱼}磁餈{糍粑}词祠饲字脐{腹~窟:肚脐眼}
tsɿ	3	紫纸指子又止只
tsɿ	5	志痣自至{夏至}致既翅寺痔巳{地支的第六位}
tsɿ	7	汁{酿~:溃脓}
tsʰɿ	3	此齿
tsʰɿ	5	次刺柿
sɿ	1	私师狮蛳{螺~}尸是司鸶{鹭~}思豉示□{~tɕio³⁵:打尖的食物}
sɿ	2	时事十实匙{锁匙}视{近~眼}
sɿ	3	始使史屎
sɿ	5	试市士
sɿ	7	湿
ti	2	笛敌
ti	7	滴
tɕi	1	鸡饥机箕今
tɕi	2	奇骑棋期旗及
tɕi	3	几{~个}纪已
tɕi	5	计技继寄祭记
tɕi	7	级极疾吉急激绩击吸即直值执质织蛰职折{~被}揭□{奶汁}
tɕʰi	1	欺溪
tɕʰi	2	□{不~声:不做声}
tɕʰi	5	气汽契
ȵi	2	疑尼□{~~母:蝉}
ȵi	5	义议艺□{话~多:叨唠}
ɕi	2	失式饰
ɕi	3	喜起
ɕi	5	世势系戏弃器
ɕi	7	室释食适歇说
i	1	医依□{在}
i	2	移姨舌叶
i	3	椅以易{交~}□{语助词，表已然}
i	5	易{难~}忆亿意
i	7	一乙益揖{作~}腌
pu	1	巴疤粑{糍~}晡{后日~:后天}
pu	2	白
pu	3	补
pu	5	布{~匹}布{~告}富{~隆:地名，又fu²⁴}
pu	7	百柏泊伯北腹{~泻}
fu	1	虾下{底~，~降，}花幅父{岳~}
fu	2	夏{~天}化湖胡葫糊狐符扶壶复{~兴}划{计~}画话服伏佛覆
fu	3	虎浒腑腐
fu	5	副富咐妇{~女}
fu	7	福客荷{薄~}
lu	1	□{~头：里面}
lu	2	辣腊蜡□{~屎：尿床}
lu	7	答{~应}搭
tsu	1	渣
tsu	2	杂宅
tsu	7	铡择摘责筑闸扎{用针~}
tsʰu	1	杈岔差{~不多}叉
tsʰu	7	拆策
su	1	沙纱杉衫厦{偏~}
su	5	粟
su	7	撒{~秧}萨
ku	1	家加瓜箍痂
ku	3	假寡
ku	7	格隔甲革
u	1	乌舞戊雨{谷～}
u	2	握
u	3	哑
u	5	雾务
u	7	鸭押压物{动~}
tɕy	2	菊
tɕy	3	举主{想~意}
tɕʰy	1	区{想~意}
tɕʰy	3	取
ɕy	1	戌荽{芫~}
ɕy	2	□{~鸡公：倒立}
y	2	余馀
y	5	誉
pa	1	被{~子}□{~丝烟：香烟}芭
pa	2	皮脾肥{猪屎~：猪粪}
pa	5	沸{~水：开水}
pʰa	7	□{那}
ma	2	糜{食~：吃饭}
ma	3	□{~tɕi55，乳房}
ta	2	大
ta	7	跶{～下去：跌下去。广韵易韵他达切，足跌，桃川今读不送气音}
la	1	哪{~个}□{一下：想～}
tsa	1	抯{拿，集韵麻韵庄加切，说文也，一日取物泥中}
tsa	3	□{~筛：罗（筛粉末状细物用的器具）}□{～子：粑粑（一种食品）}
tsʰa	1	叉
sa	7	虱
ka	1	□{耳～：耳朵}□{~颈矣：住了}
ŋa	1	按
xa	2	□{肠气~：疝气}
xa	7	□{这}
a	1	衣
a	3	矮
a	5	爱隘
a	7	轭
pia	1	跛{~脚：瘸子}□{大~：大腿；手~母：胳膊}
pia	2	排牌稗
pia	3	摆□{~家：丈夫}
pia	5	拜败罢{～意：故意}
pia	7	八□{~砖：碎砖}□{~ɕie35裤：开裆裤}
pʰia	3	□{两臂平伸两手伸直的长度}
pʰia	5	派□{ɕie35~：屁股}
mia	1	买
mia	2	卖埋
mia	3	摆
mia	5	□{洒}
mia	7	袜
tia	1	爹{父}待柱
tia	2	台抬苔{蒜~}厨{~师}除
tia	5	态袋住驻
tʰia	1	胎
tʰia	5	太泰
lia	2	来耐奈赖
lia	5	代袋带贷戴□{两~：兄弟俩；姐妹俩}
